SEASON,TEAM_NAME,Stats,Values,Norm_Values
2223,Aston Villa,Pass Completion (%),79.2251092205105,0.528960792404905
2223,Aston Villa,Tackles Won (%),53.3965244865719,0
2223,Aston Villa,Goals/Game,1.34210526315789,0.317460317460314
2223,Aston Villa,NpxG/Game,1.24,0.34375
2223,Aston Villa,Conceded/Game,1.21052631578947,0.711111111111115
2223,Aston Villa,xG Against/Game,1.38,0.423913043478261
2223,Aston Villa,Shots/Game,11.2368421052632,0.277108433734946
2223,Aston Villa,Shots On Target (%),33.9578454332553,0.659876087281918
2223,Tottenham,Pass Completion (%),81.1915412769418,0.643429034102332
2223,Tottenham,Tackles Won (%),57.0274636510501,0.389780640919135
2223,Tottenham,Goals/Game,1.84210526315789,0.619047619047615
2223,Tottenham,NpxG/Game,1.38,0.489583333333333
2223,Tottenham,Conceded/Game,1.65789473684211,0.33333333333333
2223,Tottenham,xG Against/Game,1.31,0.5
2223,Tottenham,Shots/Game,13.4736842105263,0.618473895582328
2223,Tottenham,Shots On Target (%),36.328125,0.948609658868122
2223,Southampton,Pass Completion (%),75.1570984076627,0.29215726622669
2223,Southampton,Tackles Won (%),59.7475455820477,0.68178092800441
2223,Southampton,Goals/Game,0.947368421052632,7.93650793650792e-02
2223,Southampton,NpxG/Game,0.91,0
2223,Southampton,Conceded/Game,1.92105263157895,0.11111111111111
2223,Southampton,xG Against/Game,1.61,0.173913043478261
2223,Southampton,Shots/Game,10.8684210526316,0.22088353413655
2223,Southampton,Shots On Target (%),31.9612590799031,0.416663633834755
2223,Manchester Utd,Pass Completion (%),80.8915956151035,0.625968856720098
2223,Manchester Utd,Tackles Won (%),60.790273556231,0.793717581214595
2223,Manchester Utd,Goals/Game,1.52631578947368,0.428571428571425
2223,Manchester Utd,NpxG/Game,1.72,0.84375
2223,Manchester Utd,Conceded/Game,1.13157894736842,0.777777777777779
2223,Manchester Utd,xG Against/Game,1.33,0.478260869565217
2223,Manchester Utd,Shots/Game,15.5263157894737,0.931726907630526
2223,Manchester Utd,Shots On Target (%),34.9152542372881,0.776502019233109
2223,Wolves,Pass Completion (%),79.5561386246857,0.548230389705332
2223,Wolves,Tackles Won (%),55.9757942511346,0.276884127327172
2223,Wolves,Goals/Game,0.815789473684211,0
