league,season,game,jersey_number,player,team,is_starter,position,minutes_played
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,1,Predrag Rajković,Reims,True,GK,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,2,Wout Faes,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,3,Ghislain Konan,Reims,True,WB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,4,Maxime Busi,Reims,True,WB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,5,Yunis Abdelhamid,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,11,Nathanael Mbuku,Reims,True,FW,54
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,14,Valon Berisha,Reims,True,CM,54
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,15,Marshall Munetsi,Reims,True,CM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,19,Mitchell van Bergen,Reims,True,FW,55
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,26,Dion Lopy,Reims,True,CM,61
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,32,Thomas Foket,Reims,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,16,Yehvann Diouf,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,8,Jens Cajuste,Reims,False,FW,36
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,12,Alexis Flips,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,18,Fraser Hornby,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,20,Ilan Kebbal,Reims,False,CM,29
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,23,Moreto Cassamã,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,25,Moussa Doumbia,Reims,False,FW,35
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,28,Bradley Locko,Reims,False,CM,36
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,33,Kamory Doumbia,Reims,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,40,Doğan Alemdar,Rennes,True,GK,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,3,Adrien Truffert,Rennes,True,LB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,6,Nayef Aguerd,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,7,Martin Terrier,Rennes,True,LW,89
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,8,Baptiste Santamaria,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,14,Benjamin Bourigeaud,Rennes,True,RW,89
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,21,Lovro Majer,Rennes,True,AM,75
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,23,Warmed Omari,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,24,Gaëtan Laborde,Rennes,True,FW,83
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,27,Hamari Traoré,Rennes,True,RB,83
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,28,Jonas Martin,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,1,Romain Salin,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,9,Serhou Guirassy,Rennes,False,FW,7
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,17,Loum Tchaouna,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,19,Andy Diouf,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,20,Flavien Tait,Rennes,False,AM,15
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,22,Lorenz Assignon,Rennes,False,RB,7
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,25,Birger Meling,Rennes,False,LW,1
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,26,Lesley Ugochukwu,Rennes,False,RW,1
FRA-Ligue 1,2122,2022-04-09 Reims-Rennes,39,Mathys Tel,Rennes,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,16,Alexander Nübel,Monaco,True,GK,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,5,Benoît Badiashile,Monaco,True,CB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,6,Axel Disasi,Monaco,True,CB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,7,Gelson Martins,Monaco,True,RM,71
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,8,Aurélien Tchouaméni,Monaco,True,"CM,DM",90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,9,Myron Boadu,Monaco,True,FW,58
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,11,Jean Lucas,Monaco,True,"CM,AM",81
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,12,Caio Henrique Oliveira Silva,Monaco,True,LB,71
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,26,Ruben Aguilar,Monaco,True,RB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,31,Kevin Volland,Monaco,True,FW,58
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,37,Sofiane Diop,Monaco,True,"LM,AM,RW",90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,1,Radosław Majecki,Monaco,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,4,Cesc Fàbregas,Monaco,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,10,Wissam Ben Yedder,Monaco,False,FW,32
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,14,Ismail Jakobs,Monaco,False,LB,19
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,17,Aleksandr Golovin,Monaco,False,"LW,FW",32
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,19,Djibril Sidibé,Monaco,False,RW,9
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,21,Strahinja Pavlović,Monaco,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,22,Youssouf Fofana,Monaco,False,DM,19
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,36,Eliot Matazo,Monaco,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,1,Alban Lafont,Nantes,True,GK,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,2,Fábio,Nantes,True,LB,83
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,3,Andrei Girotto,Nantes,True,"CM,DM",90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,4,Nicolas Pallois,Nantes,True,CB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,6,Roli Pereira de Sa,Nantes,True,CM,62
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,10,Ludovic Blas,Nantes,True,"RM,AM",78
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,12,Dennis Appiah,Nantes,True,RB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,18,Samuel Moutoussamy,Nantes,True,DM,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,21,Jean-Charles Castelletto,Nantes,True,CB,90
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,23,Randal Kolo Muani,Nantes,True,FW,78
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,27,Moses Simon,Nantes,True,"LM,LW,AM",82
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,16,Rémy Descamps,Nantes,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,11,Marcus Coco,Nantes,False,LW,12
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,14,Charles Traore,Nantes,False,LB,7
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,17,Anthony Limbombe,Nantes,False,,0
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,24,Sébastien Corchia,Nantes,False,RW,28
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,28,Renaud Emond,Nantes,False,FW,12
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,29,Quentin Merlin,Nantes,False,AM,8
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,33,Abdoulaye Sylla,Nantes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,40,Doğan Alemdar,Rennes,True,GK,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,7,Martin Terrier,Rennes,True,LW,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,8,Baptiste Santamaria,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,14,Benjamin Bourigeaud,Rennes,True,RW,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,20,Flavien Tait,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,21,Lovro Majer,Rennes,True,AM,80
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,23,Warmed Omari,Rennes,True,CB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,24,Gaëtan Laborde,Rennes,True,FW,70
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,25,Birger Meling,Rennes,True,LB,56
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,27,Hamari Traoré,Rennes,True,RB,80
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,28,Jonas Martin,Rennes,True,DM,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,1,Romain Salin,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,3,Adrien Truffert,Rennes,False,LB,34
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,9,Serhou Guirassy,Rennes,False,FW,20
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,17,Loum Tchaouna,Rennes,False,AM,10
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,19,Andy Diouf,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,22,Lorenz Assignon,Rennes,False,RB,10
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,26,Lesley Ugochukwu,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,33,Jeanuël Belocian,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,39,Mathys Tel,Rennes,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,16,Alexander Nübel,Monaco,True,GK,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,2,Vanderson,Monaco,True,RW,78
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,5,Benoît Badiashile,Monaco,True,CB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,6,Axel Disasi,Monaco,True,CB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,8,Aurélien Tchouaméni,Monaco,True,DM,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,10,Wissam Ben Yedder,Monaco,True,FW,71
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,12,Caio Henrique Oliveira Silva,Monaco,True,LB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,17,Aleksandr Golovin,Monaco,True,LW,77
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,22,Youssouf Fofana,Monaco,True,DM,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,26,Ruben Aguilar,Monaco,True,RB,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,31,Kevin Volland,Monaco,True,AM,90
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,30,Vito Mannone,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,9,Myron Boadu,Monaco,False,FW,19
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,11,Jean Lucas,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,14,Ismail Jakobs,Monaco,False,LW,13
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,19,Djibril Sidibé,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,33,Maghnes Akliouche,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,34,Chrislain Matsima,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,36,Eliot Matazo,Monaco,False,,0
FRA-Ligue 1,2122,2022-04-15 Rennes-Monaco,37,Sofiane Diop,Monaco,False,RW,12
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,30,Paul Nardi,Lorient,True,GK,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,3,Moritz Jenz,Lorient,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,6,Laurent Abergel,Lorient,True,CM,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,7,Stéphane Diarra,Lorient,True,FW,84
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,11,Quentin Boisgard,Lorient,True,CM,71
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,13,Terem Moffi,Lorient,True,FW,83
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,14,Jérôme Hergault,Lorient,True,RB,64
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,15,Julien Laporte,Lorient,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,17,Houboulang Mendes,Lorient,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,18,Fabien Lemoine,Lorient,True,CM,84
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,25,Vincent Le Goff,Lorient,True,LB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,1,Matthieu Dreyer,Lorient,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,2,Igor Carioca,Lorient,False,RB,26
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,5,Thomas Fontaine,Lorient,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,10,Enzo Le Fée,Lorient,False,CM,6
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,20,Samuel Loric,Lorient,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,23,Thomas Monconduit,Lorient,False,FW,6
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,27,Adrian Grbić,Lorient,False,CM,19
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,33,Sambou Soumano,Lorient,False,FW,7
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,36,Léo Pétrot,Lorient,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,1,Benoît Costil,Bordeaux,True,GK,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,2,Stian Rode Gregersen,Bordeaux,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,5,Otávio,Bordeaux,True,DM,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,6,Laurent Koscielny,Bordeaux,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,8,Jean Onana,Bordeaux,True,CM,85
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,12,Ricardo Mangas,Bordeaux,True,LB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,19,Yacine Adli,Bordeaux,True,LM,89
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,21,Javairô Dilrosun,Bordeaux,True,FW,89
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,25,Enock Kwateng,Bordeaux,True,RB,90
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,28,Remi Oudin,Bordeaux,True,RM,89
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,29,Alberth Elis,Bordeaux,True,FW,89
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,16,Gaëtan Poussin,Bordeaux,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,3,Abdel Jalil Medioub,Bordeaux,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,4,Mexer,Bordeaux,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,7,Jimmy Briand,Bordeaux,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,10,Samuel Kalu,Bordeaux,False,,0
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,11,Sekou Mara,Bordeaux,False,FW,1
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,13,Fransérgio,Bordeaux,False,LM,1
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,14,Gideon Mensah,Bordeaux,False,RM,1
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,22,Timothee Pembele,Bordeaux,False,FW,1
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,16,Anthony Mandrea,Angers,True,GK,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,2,Batista Mendy,Angers,True,CM,68
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,3,Souleyman Doumbia,Angers,True,LB,89
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,6,Enzo Ebosse,Angers,True,CB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,8,Ismaël Traoré,Angers,True,CB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,10,Angelo Fulgini,Angers,True,"CM,FW",90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,19,Stéphane Bahoken,Angers,True,FW,74
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,21,Mohamed Ali Cho,Angers,True,FW,68
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,23,Nabil Bentaleb,Angers,True,CM,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,27,Mathias Pereira Lage,Angers,True,RB,89
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,29,Vincent Manceau,Angers,True,CB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,30,Danijel Petković,Angers,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,5,Thomas Mangani,Angers,False,CM,22
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,9,Casimir Ninga,Angers,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,17,Noah Fatar,Angers,False,LB,1
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,18,Azzedine Ounahi,Angers,False,"FW,CM",16
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,22,Marin Jakoliš,Angers,False,FW,22
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,25,Abdoulaye Bamba,Angers,False,RB,1
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,26,Waniss Taibi,Angers,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,33,Ali Kalla,Angers,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,1,Benoît Costil,Bordeaux,True,GK,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,5,Anel Ahmedhodžić,Bordeaux,True,CB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,8,Jean Onana,Bordeaux,True,CM,64
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,10,M'Baye Niang,Bordeaux,True,FW,76
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,12,Ricardo Mangas,Bordeaux,True,WB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,13,Fransérgio,Bordeaux,True,CM,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,14,Gideon Mensah,Bordeaux,True,WB,57
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,15,Marcelo,Bordeaux,True,CB,57
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,21,Javairô Dilrosun,Bordeaux,True,AM,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,23,Josuha Guilavogui,Bordeaux,True,CB,90
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,28,Remi Oudin,Bordeaux,True,FW,57
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,16,Gaëtan Poussin,Bordeaux,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,7,Jimmy Briand,Bordeaux,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,11,Sekou Mara,Bordeaux,False,WB,33
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,18,Hwang Ui-jo,Bordeaux,False,FW,33
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,19,Yacine Adli,Bordeaux,False,CM,26
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,24,Paul Baysse,Bordeaux,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,25,Enock Kwateng,Bordeaux,False,CB,33
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,27,Tom Lacoux,Bordeaux,False,,0
FRA-Ligue 1,2122,2022-05-08 Angers-Bordeaux,32,Dilane Bakwa,Bordeaux,False,FW,14
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,16,Pau López,Marseille,True,GK,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,2,William Saliba,Marseille,True,RB,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,4,Boubacar Kamara,Marseille,True,CB,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,6,Mattéo Guendouzi,Marseille,True,CM,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,8,Gerson,Marseille,True,LW,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,9,Arkadiusz Milik,Marseille,True,FW,77
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,10,Dimitri Payet,Marseille,True,CM,87
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,15,Duje Ćaleta-Car,Marseille,True,LB,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,17,Cengiz Ünder,Marseille,True,RW,74
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,21,Valentin Rongier,Marseille,True,DM,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,22,Pape Gueye,Marseille,True,DM,86
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,30,Steve Mandanda,Marseille,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,5,Leonardo Balerdi,Marseille,False,RW,4
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,7,Amine Harit,Marseille,False,RW,16
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,11,Luis Henrique,Marseille,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,13,Cédric Bakambu,Marseille,False,CM,3
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,14,Luan Peres Petroni,Marseille,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,23,Sead Kolašinac,Marseille,False,FW,13
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,29,Pol Lirola,Marseille,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,40,Walter Benítez,Nice,True,GK,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,6,Morgan Schneiderlin,Nice,True,CM,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,7,Andy Delort,Nice,True,FW,77
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,8,Pablo Rosario,Nice,True,CB,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,11,Amine Gouiri,Nice,True,FW,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,18,Mario Lemina,Nice,True,CM,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,19,Khéphren Thuram,Nice,True,LM,70
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,22,Calvin Stengs,Nice,True,RM,62
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,23,Jordan Lotomba,Nice,True,RB,71
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,25,Jean-Clair Todibo,Nice,True,CB,90
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,26,Melvin Bard,Nice,True,LB,45
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,1,Marcin Bułka,Nice,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,5,Flavius Daniliuc,Nice,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,9,Kasper Dolberg,Nice,False,RM,28
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,12,Jordan Amavi,Nice,False,LB,45
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,15,Danilo Barbosa,Nice,False,,0
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,20,Youcef Atal,Nice,False,RB,19
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,21,Justin Kluivert,Nice,False,RM,20
FRA-Ligue 1,2122,2022-03-20 Marseille-Nice,24,Evann Guessand,Nice,False,FW,13
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,16,Jean-Louis Leca,Lens,True,GK,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,4,Kevin Danso,Lens,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,7,Florian Sotoca,Lens,True,AM,79
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,8,Seko Fofana,Lens,True,CM,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,11,Jonathan Clauss,Lens,True,WB,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,14,Facundo Medina,Lens,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,15,Arnaud Kalimuendo,Lens,True,FW,79
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,22,Wesley Saïd,Lens,True,AM,61
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,24,Jonathan Gradit,Lens,True,CB,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,28,Cheick Doucouré,Lens,True,CM,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,29,Przemysław Frankowski,Lens,True,WB,90
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,1,Wuilker Faríñez,Lens,False,,0
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,3,Deiver Machado,Lens,False,,0
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,5,Christopher Wooh,Lens,False,,0
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,9,Ignatius Ganago,Lens,False,FW,8
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,10,Gaël Kakuta,Lens,False,"AM,FW",29
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,18,Yannick Cahuzac,Lens,False,"CM,AM",11
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,20,David Pereira da Costa,Lens,False,,0
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,25,Corentin Jean,Lens,False,FW,3
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,27,Charles Boli,Lens,False,,0
FRA-Ligue 1,2122,2021-10-24 Lens-Metz,16,Alexandre Oukidja,Metz,True,GK,87
