,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
31,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,52,Sergio Camello,Rayo Vallecano,0.28,,Off Target,6,Left Foot,,Sergio Camello,Take-On,Pathé Ciss,Pass (Live)
32,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,54,Raphinha,Barcelona,0.05,,Off Target,17,Left Foot,,Pedri,Pass (Live),Ousmane Dembélé,Pass (Live)
33,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,54,Robert Lewandowski,Barcelona,0.31,0.89,Saved,4,Left Foot,,Raphinha,Shot,,
34,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,55,Raphinha,Barcelona,0.02,,Off Target,26,Left Foot,Volley,Ronald Araújo,Pass (Live),Robert Lewandowski,Pass (Live)
35,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,65,Ansu Fati,Barcelona,0.1,0.18,Saved,17,Right Foot,,Ousmane Dembélé,Pass (Live),Pedri,Pass (Live)
36,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,69,Robert Lewandowski,Barcelona,0.08,,Blocked,17,Right Foot,,Jordi Alba,Pass (Live),Ousmane Dembélé,Pass (Live)
37,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,69,Sergio Busquets,Barcelona,0.04,0.3,Saved,32,Right Foot,,Robert Lewandowski,Shot,,
38,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,75,Franck Kessié,Barcelona,0.11,,Off Target,11,Left Foot,,Ousmane Dembélé,Pass (Live),Jordi Alba,Pass (Live)
39,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,78,Franck Kessié,Barcelona,0.03,,Blocked,21,Right Foot,,Sergio Busquets,Pass (Live),Frenkie de Jong,Pass (Live)
40,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,81,Ousmane Dembélé,Barcelona,0.05,,Blocked,18,Left Foot,,Frenkie de Jong,Pass (Live),Robert Lewandowski,Pass (Live)
41,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,82,Robert Lewandowski,Barcelona,0.06,,Off Target,17,Left Foot,,Frenkie de Jong,Pass (Live),,
42,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,84,Pierre-Emerick Aubameyang,Barcelona,0.12,,Blocked,12,Right Foot,,Robert Lewandowski,Pass (Live),Ousmane Dembélé,Pass (Live)
43,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,84,Robert Lewandowski,Barcelona,0.27,,Off Target,10,Right Foot,Volley,Pierre-Emerick Aubameyang,Shot,,
44,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,87,Ansu Fati,Barcelona,0.05,,Off Target,31,Right Foot,Free kick,Robert Lewandowski,Fouled,Frenkie de Jong,Pass (Live)
45,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,90+5,Salvi,Rayo Vallecano,0.1,0.15,Saved,13,Left Foot,Volley,Álvaro García,Pass (Live),José Pozo,Pass (Live)
46,ESP-La Liga,2223,2022-08-13 Barcelona-Rayo Vallecano,90+7,Pathé Ciss,Rayo Vallecano,0.02,,Off Target,35,Right Foot,,José Pozo,Pass (Live),Álvaro García,Pass (Live)
47,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,5,Rubén,Espanyol,0.04,,Off Target,13,Head,,Brian Oliván,Pass (Live),Sergi Darder,Pass (Live)
48,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,8,Sergi Darder,Espanyol,0.03,,Blocked,31,Right Foot,,Fernando Calero,Pass (Live),Sergi Gómez,Pass (Live)
49,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,12,Gonçalo Paciência,Celta Vigo,0.03,,Blocked,29,Left Foot,,Iago Aspas,Pass (Live),Augusto Solari,Pass (Live)
50,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,22,Iago Aspas,Celta Vigo,0.02,,Off Target,24,Left Foot,,Augusto Solari,Pass (Live),,
51,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,29,Iago Aspas,Celta Vigo,0.02,,Off Target,17,Head,,Óscar Rodríguez Arnaiz,Pass (Dead),Gonçalo Paciência,Fouled
52,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,38,Brian Oliván,Espanyol,0.06,,Off Target,23,Left Foot,Free kick,Nico Ribaudo,Fouled,,
53,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,45,Óscar Rodríguez Arnaiz,Celta Vigo,0.01,,Off Target,25,Left Foot,Volley,Iago Aspas,Pass (Live),Óscar Rodríguez Arnaiz,Pass (Live)
54,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,45+2,Iago Aspas,Celta Vigo,0.07,0.73,Goal,8,Right Foot,Volley,Augusto Solari,Pass (Live),Óscar Rodríguez Arnaiz,Pass (Live)
55,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,48,Rubén,Espanyol,0.03,,Blocked,24,Right Foot,Volley,,,,
56,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,50,Renato Tapia,Celta Vigo,0.02,0.05,Saved,30,Right Foot,,Iago Aspas,Pass (Live),Fran Beltrán,Pass (Live)
57,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,52,Fran Beltrán,Celta Vigo,0.08,,Blocked,21,Right Foot,,Iago Aspas,Pass (Live),Hugo Mallo,Pass (Live)
58,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,57,Rubén,Espanyol,0.02,,Off Target,30,Left Foot,Volley,Rubén,Interception,,
59,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,63,Gonçalo Paciência,Celta Vigo,0.15,0.27,Goal,8,Head,,Gonçalo Paciência,Pass (Live),Hugo Mallo,Pass (Live)
60,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,67,Adri Embarba,Espanyol,0.02,,Off Target,29,Right Foot,,Adri Embarba,Take-On,Adri Embarba,Take-On
61,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,72,Edu Expósito,Espanyol,0.07,0.24,Goal,23,Left Foot,,Edu Expósito,Pass (Live),Leandro Cabrera,Pass (Live)
62,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,76,Edu Expósito,Espanyol,0.02,,Off Target,57,Right Foot,Free kick,Joselu,Fouled,Vinicius Souza,Pass (Live)
63,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,82,Adri Embarba,Espanyol,0.06,,Blocked,31,Right Foot,,Edu Expósito,Interception,,
64,ESP-La Liga,2223,2022-08-13 Celta Vigo-Espanyol,90+8,Joselu (pen),Espanyol,0.79,0.97,Goal,13,Right Foot,,Joselu,Fouled,,
65,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,36,Gerard Moreno,Villarreal,0.1,,Blocked,17,Left Foot,,Nicolas Jackson,Pass (Live),Juan Foyth,Pass (Live)
