,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
1709,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,48,Domingos Quina,Elche,0.02,,Off Target,63,Right Foot,,,,,
1710,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,53,Raúl Guti,Elche,0.17,,Blocked,14,Left Foot,,Domingos Quina,Pass (Live),Pol Lirola,Pass (Live)
1711,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,59,Roger Martí,Elche,0.04,0.09,Saved,18,Right Foot,,Lucas Boyé,Pass (Live),Pol Lirola,Pass (Live)
1712,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,67,Unai López,Rayo Vallecano,0.07,,Blocked,20,Right Foot,,Isaac Palazón Camacho,Pass (Live),Sergio Camello,Pass (Live)
1713,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,68,Isaac Palazón Camacho,Rayo Vallecano,0.04,,Off Target,27,Left Foot,,Sergio Camello,Pass (Live),Óscar Valentín,Pass (Live)
1714,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,74,Isaac Palazón Camacho,Rayo Vallecano,0.03,0.24,Saved,26,Left Foot,,Radamel Falcao,Pass (Live),Isaac Palazón Camacho,Pass (Live)
1715,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,76,Unai López,Rayo Vallecano,0.03,,Blocked,16,Right Foot,,Álvaro García,Pass (Live),,
1716,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,80,Pathé Ciss,Rayo Vallecano,0.02,0.02,Saved,36,Right Foot,,Florian Lejeune,Pass (Live),Iván Balliu,Pass (Live)
1717,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,82,Álvaro García,Rayo Vallecano,0.16,,Off Target,10,Left Foot,,Óscar Trejo,Pass (Live),Pathé Ciss,Pass (Live)
1718,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,90+4,Pathé Ciss,Rayo Vallecano,0.02,0.03,Saved,16,Right Foot,Volley,Iván Balliu,Pass (Live),Isaac Palazón Camacho,Pass (Live)
1719,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,90+4,Tete Morente,Elche,0.46,,Off Target,7,Left Foot,,Édgar Badía,Pass (Live),,
1720,ESP-La Liga,2223,2022-10-03 Rayo Vallecano-Elche,90+5,Unai López,Rayo Vallecano,0.05,0.3,Goal,25,Right Foot,Volley,José Pozo,Pass (Live),Salvi,Tackle
1721,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,8,Kiké,Osasuna,0.16,,Off Target,15,Right Foot,,Abdessamad Ezzalzouli,Pass (Live),Kiké,Pass (Live)
1722,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,9,Samuel Lino,Valencia,0.04,0.13,Saved,12,Head,,José Luis Gayà,Pass (Dead),Edinson Cavani,Pass (Live)
1723,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,22,Thierry Correia,Valencia,0.01,,Blocked,32,Left Foot,,Domingos André Ribeiro Almeida,Pass (Live),Ilaix Moriba,Pass (Live)
1724,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,24,Kiké,Osasuna,0.03,0.09,Saved,21,Right Foot,Volley,Aimar Oroz,Pass (Live),Lucas Torró,Pass (Live)
1725,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,28,Justin Kluivert,Valencia,0.4,0.79,Goal,13,Left Foot,,Edinson Cavani,Pass (Live),Samuel Lino,Pass (Live)
1726,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,32,Edinson Cavani,Valencia,0.04,,Off Target,24,Right Foot,,Ilaix Moriba,Pass (Live),Ilaix Moriba,Take-On
1727,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,44,Ilaix Moriba,Valencia,0.04,0.02,Saved,27,Left Foot,,José Luis Gayà,Pass (Live),Justin Kluivert,Pass (Live)
1728,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,45,Jon Moncayola,Osasuna,0.02,,Off Target,15,Right Foot,Volley,Kiké,Pass (Live),Nacho Vidal,Pass (Live)
1729,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,47,Samuel Lino,Valencia,0.04,0.02,Saved,18,Right Foot,Volley,Ilaix Moriba,Pass (Live),José Luis Gayà,Pass (Dead)
1730,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,53,Edinson Cavani,Valencia,0.1,,Blocked,11,Right Foot,Volley,Justin Kluivert,Pass (Live),Thierry Correia,Pass (Live)
1731,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,54,José Luis Gayà,Valencia,0.02,,Off Target,18,Left Foot,,Edinson Cavani,Shot,,
1732,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,54,Mouctar Diakhaby,Valencia,0.23,0.4,Goal,9,Right Foot,,José Luis Gayà,Shot,,
1733,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,57,Ezequiel Ávila (pen),Osasuna,0.79,,Off Target,13,Right Foot,,Kiké,Fouled,,
1734,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,59,Samuel Lino,Valencia,0.13,,Off Target,11,Head,,Justin Kluivert,Pass (Live),Hugo Guillamón,Pass (Live)
1735,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,70,Edinson Cavani (pen),Valencia,0.79,,Woodwork,13,Right Foot,,Samuel Lino,Fouled,Domingos André Ribeiro Almeida,Pass (Live)
1736,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,71,Samuel Lino,Valencia,0.04,0.02,Saved,17,Right Foot,Volley,José Luis Gayà,Pass (Dead),Edinson Cavani,Shot
1737,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,72,Edinson Cavani,Valencia,0.15,,Off Target,16,Right Foot,,Justin Kluivert,Pass (Live),Samuel Lino,Pass (Live)
1738,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,77,Ezequiel Ávila,Osasuna,0.02,,Off Target,12,Right Foot,Volley,Rubén Peña,Pass (Dead),,
1739,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,78,Samuel Lino,Valencia,0.05,,Off Target,13,Left Foot,,Yunus Musah,Pass (Live),Toni Lato,Pass (Live)
1740,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,79,Lucas Torró,Osasuna,0.06,,Off Target,8,Head,,Rubén García,Pass (Dead),Rubén García,Pass (Dead)
1741,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,83,Kiké,Osasuna,0.18,,Off Target,10,Head,,Rubén García,Pass (Dead),Darko Brašanac,Fouled
1742,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,86,Juan Cruz Armada,Osasuna,0.2,,Off Target,10,Head,,Ezequiel Ávila,Pass (Live),Rubén García,Pass (Dead)
1743,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,88,Manu Sánchez,Osasuna,0.01,,Off Target,30,Left Foot,Volley,Sergio Herrera,Pass (Live),,
1744,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,90+3,José Luis Gayà,Valencia,0.04,0.3,Saved,28,Left Foot,,Toni Lato,Pass (Live),Samuel Lino,Pass (Live)
1745,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,90+3,Kiké,Osasuna,0.02,,Blocked,13,Head,,Rubén García,Pass (Dead),Kiké,Fouled
1746,ESP-La Liga,2223,2022-10-07 Osasuna-Valencia,90+3,Darko Brašanac,Osasuna,0.09,0.13,Goal,11,Right Foot,Volley,Kiké,Shot,,
1747,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,2,Sergio Camello,Rayo Vallecano,0.03,,Off Target,12,Left Foot,Volley,Óscar Trejo,Pass (Live),Salvi,Pass (Live)
1748,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,7,Léo Baptistão,Almería,0.04,,Off Target,27,Right Foot,,Adri Embarba,Tackle,,
1749,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,8,Lucas Robertone,Almería,0.49,0.5,Goal,17,Left Foot,,,,,
1750,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,11,Unai López,Rayo Vallecano,0.16,0.07,Saved,10,Head,,Isaac Palazón Camacho,Pass (Dead),Fran Garcia,Pass (Dead)
1751,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,13,Adri Embarba,Almería,0.02,,Off Target,35,Right Foot,Free kick,Lucas Robertone,Fouled,,
1752,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,17,Srđan Babić,Almería,0.15,0.09,Goal,8,Head,Deflected,Adri Embarba,Pass (Dead),Sergio Akieme,Take-On
1753,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,22,El Bilal Touré,Almería,0.18,,Off Target,7,Head,,Léo Baptistão,Pass (Live),Houboulang Mendes,Pass (Live)
1754,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,39,Gonzalo Melero,Almería,0.05,,Off Target,13,Head,,Sergio Akieme,Pass (Live),Srđan Babić,Pass (Live)
1755,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,39,El Bilal Touré,Almería,0.08,0.43,Goal,9,Right Foot,,Gonzalo Melero,Shot,,
1756,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,41,Adri Embarba,Almería,0.13,0.02,Saved,25,Right Foot,,El Bilal Touré,Pass (Live),Léo Baptistão,Pass (Live)
1757,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,45,Salvi,Rayo Vallecano,0.04,0.03,Saved,19,Left Foot,,Iván Balliu,Pass (Live),Catena,Pass (Live)
1758,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,47,Sergio Camello,Rayo Vallecano,0.03,,Off Target,28,Right Foot,,Óscar Valentín,Pass (Live),Santi Comesaña,Pass (Live)
1759,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,54,Léo Baptistão,Almería,0.04,,Off Target,15,Left Foot,,César de la Hoz,Pass (Live),Gonzalo Melero,Pass (Live)
1760,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,76,Alejandro Pozo Pozo,Almería,0.02,,Off Target,31,Left Foot,,Lucas Robertone,Pass (Live),Alejandro Pozo Pozo,Pass (Live)
1761,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,81,Catena,Rayo Vallecano,0.14,0.18,Goal,10,Head,,Isaac Palazón Camacho,Pass (Dead),,
1762,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,88,Catena,Rayo Vallecano,0.12,0.09,Saved,8,Left Foot,Volley,Óscar Valentín,Pass (Live),Iván Balliu,Fouled
1763,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90,Santi Comesaña,Rayo Vallecano,0.01,,Blocked,27,Left Foot,Volley,Unai López,Pass (Live),,
1764,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90,Bebé,Rayo Vallecano,0.02,,Blocked,32,Right Foot,,,,,
1765,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90+2,Radamel Falcao,Rayo Vallecano,0.04,,Off Target,11,Head,,Bebé,Pass (Dead),Óscar Valentín,Fouled
1766,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90+5,Iván Balliu,Rayo Vallecano,0.14,,Off Target,9,Right Foot,Volley,Unai López,Pass (Live),Fran Garcia,Pass (Dead)
1767,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90+6,Bebé,Rayo Vallecano,0.02,,Woodwork,34,Right Foot,,Unai López,Pass (Live),Radamel Falcao,Pass (Live)
1768,ESP-La Liga,2223,2022-10-08 Almería-Rayo Vallecano,90+6,Radamel Falcao,Rayo Vallecano,0.1,,Off Target,17,Right Foot,,Santi Comesaña,Pass (Live),,
1769,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,5,Ángel Correa,Atlético Madrid,0.42,0.62,Goal,3,Right Foot,Volley,Antoine Griezmann,Pass (Live),Reinildo Mandava,Pass (Live)
1770,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,22,Matheus Cunha,Atlético Madrid,0.05,,Blocked,18,Left Foot,,Ángel Correa,Pass (Live),Matheus Cunha,Pass (Live)
1771,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,25,Oriol Romeu,Girona,0.1,,Blocked,27,Right Foot,,Arnau Martinez,Pass (Live),Aleix García,Pass (Live)
1772,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,35,Oriol Romeu,Girona,0.09,,Off Target,17,Right Foot,,Javi Hernández,Take-On,,
1773,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,35,Yangel Herrera,Girona,0.09,,Off Target,13,Right Foot,,Oriol Romeu,Shot,,
1774,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,38,Matheus Cunha,Atlético Madrid,0.19,0.76,Saved,10,Right Foot,,Antoine Griezmann,Pass (Live),Nahuel Molina,Pass (Live)
1775,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,39,Yannick Carrasco,Atlético Madrid,0.03,,Off Target,13,Right Foot,,Yannick Carrasco,Take-On,Reinildo Mandava,Pass (Live)
1776,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,41,Matheus Cunha,Atlético Madrid,0.05,0.26,Saved,10,Left Foot,,Antoine Griezmann,Pass (Live),Axel Witsel,Pass (Live)
1777,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,41,Ángel Correa,Atlético Madrid,0.04,0.16,Saved,30,Right Foot,,,,,
1778,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,43,Antoine Griezmann,Atlético Madrid,0.14,,Blocked,10,Left Foot,,Yannick Carrasco,Pass (Live),Antoine Griezmann,Pass (Live)
1779,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,45+3,Yangel Herrera,Girona,0.32,,Off Target,8,Head,,Aleix García,Pass (Dead),Arnau Martinez,Fouled
1780,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,48,Ángel Correa,Atlético Madrid,0.65,0.89,Goal,10,Left Foot,Volley,Ángel Correa,Interception,,
1781,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,53,Nahuel Molina,Atlético Madrid,0.12,0.47,Saved,7,Right Foot,,Yannick Carrasco,Pass (Live),Yannick Carrasco,Take-On
1782,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,53,José María Giménez,Atlético Madrid,0.05,0.07,Saved,11,Head,,Yannick Carrasco,Pass (Live),Antoine Griezmann,Pass (Dead)
1783,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,57,Valentín Castellanos,Girona,0.03,,Off Target,13,Head,,Yangel Herrera,Pass (Live),,
1784,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,62,Aleix García,Girona,0.02,,Blocked,24,Right Foot,,Valentín Castellanos,Pass (Live),Aleix García,Pass (Live)
1785,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,62,Ángel Correa,Atlético Madrid,0.04,,Blocked,25,Right Foot,,Matheus Cunha,Pass (Live),,
1786,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,66,Rodrigo Riquelme,Girona,0.03,0.1,Goal,27,Right Foot,Deflected,Valery Fernández,Pass (Live),Aleix García,Pass (Live)
1787,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,70,Valentín Castellanos,Girona,0.04,0.02,Saved,23,Right Foot,,Rodrigo Riquelme,Pass (Live),Santiago Bueno,Pass (Live)
1788,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,76,Aleix García,Girona,0.03,0.18,Saved,27,Right Foot,,Valery Fernández,Pass (Live),Aleix García,Pass (Live)
1789,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,79,Saúl Ñíguez,Atlético Madrid,0.06,,Blocked,12,Left Foot,,Thomas Lemar,Pass (Live),Koke,Pass (Live)
1790,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,79,Álvaro Morata,Atlético Madrid,0.09,,Off Target,9,Head,,Thomas Lemar,Pass (Dead),Saúl Ñíguez,Shot
1791,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,86,Aleix García,Girona,0.03,0.22,Saved,25,Right Foot,,Yan Couto,Take-On,Bernardo Espinosa,Pass (Live)
1792,ESP-La Liga,2223,2022-10-08 Atlético Madrid-Girona,90+1,Ramón Terrats,Girona,0.03,,Off Target,31,Left Foot,,Oriol Romeu,Pass (Live),Aleix García,Pass (Live)
1793,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,3,Éder Militão,Real Madrid,0.19,0.26,Goal,3,Head,Deflected,Luka Modrić,Pass (Dead),,
1794,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,7,Dani Carvajal,Real Madrid,0.04,,Off Target,12,Right Foot,,Vinicius Júnior,Pass (Live),David Alaba,Pass (Live)
1795,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,9,Luka Modrić,Real Madrid,0.04,,Off Target,22,Left Foot,,Dani Carvajal,Pass (Live),Federico Valverde,Pass (Live)
1796,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,18,Rodrygo,Real Madrid,0.06,,Off Target,20,Right Foot,,David Alaba,Pass (Live),Rodrygo,Pass (Live)
1797,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,20,Carles Aleñá,Getafe,0.02,,Off Target,24,Left Foot,Volley,Ángel Algobia,Pass (Live),Carles Aleñá,Pass (Live)
1798,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,22,Fabrizio Angileri,Getafe,0.07,,Off Target,17,Left Foot,,Carles Aleñá,Pass (Live),Damián Suárez,Pass (Live)
1799,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,27,Luka Modrić,Real Madrid,0.03,,Off Target,19,Right Foot,,David Alaba,Pass (Dead),Vinicius Júnior,Fouled
1800,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,33,Aurélien Tchouaméni,Real Madrid,0.03,,Blocked,30,Right Foot,,Vinicius Júnior,Pass (Live),David Alaba,Pass (Live)
1801,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,37,Federico Valverde,Real Madrid,0.15,,Off Target,15,Right Foot,,Rodrygo,Pass (Live),Dani Carvajal,Pass (Live)
1802,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,39,Rodrygo,Real Madrid,0.15,0.28,Saved,11,Head,,Federico Valverde,Pass (Live),Eduardo Camavinga,Pass (Live)
1803,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,46,Enes Ünal,Getafe,0.02,0.02,Saved,19,Right Foot,Volley,Luis Milla,Pass (Dead),Enes Ünal,Fouled
1804,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,47,Rodrygo,Real Madrid,0.06,,Off Target,25,Right Foot,,Rodrygo,Take-On,Éder Militão,Pass (Live)
1805,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,48,Rodrygo,Real Madrid,0.16,,Blocked,12,Right Foot,,Vinicius Júnior,Pass (Live),David Alaba,Pass (Live)
1806,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,48,Aurélien Tchouaméni,Real Madrid,0.1,0.03,Saved,16,Right Foot,,Rodrygo,Shot,,
1807,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,48,Luka Modrić,Real Madrid,0.26,,Blocked,10,Left Foot,,Aurélien Tchouaméni,Shot,,
1808,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,49,Carles Aleñá,Getafe,0.05,0.22,Saved,24,Left Foot,,Ángel Algobia,Pass (Live),Borja Mayoral,Pass (Live)
1809,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,50,Carles Aleñá,Getafe,0.04,,Blocked,27,Left Foot,Deflected,Carles Aleñá,Shot,,
1810,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,50,Domingos Duarte,Getafe,0.02,,Off Target,20,Left Foot,,Carles Aleñá,Shot,,
1811,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,51,Aurélien Tchouaméni,Real Madrid,0.01,,Blocked,30,Right Foot,,Federico Valverde,Pass (Live),Luka Modrić,Pass (Live)
1812,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,60,Enes Ünal,Getafe,0.03,,Blocked,21,Right Foot,,Damián Suárez,Pass (Live),,
1813,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,63,Eduardo Camavinga,Real Madrid,0.02,,Off Target,27,Left Foot,,Federico Valverde,Pass (Live),Luka Modrić,Pass (Live)
1814,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,71,Rodrygo,Real Madrid,0.02,,Off Target,28,Right Foot,,Luka Modrić,Pass (Live),Aurélien Tchouaméni,Pass (Live)
1815,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,77,Federico Valverde,Real Madrid,0.02,0.23,Saved,35,Right Foot,,,,,
1816,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,85,Vinicius Júnior,Real Madrid,0.05,,Off Target,21,Right Foot,,Marco Asensio,Pass (Live),Marco Asensio,Take-On
1817,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,88,Federico Valverde,Real Madrid,0.03,,Off Target,69,Right Foot,,Dani Carvajal,Pass (Live),Antonio Rüdiger,Pass (Live)
1818,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,89,Juanmi Latasa,Getafe,0.03,,Blocked,20,Left Foot,,Portu,Pass (Live),Jaime Seoane,Pass (Live)
1819,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,90,Luis Milla,Getafe,0.02,,Off Target,29,Right Foot,Volley,Juanmi Latasa,Shot,,
1820,ESP-La Liga,2223,2022-10-08 Getafe-Real Madrid,90+2,Marco Asensio,Real Madrid,0.02,,Off Target,31,Left Foot,,Dani Carvajal,Pass (Live),Luka Modrić,Pass (Dead)
1821,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,4,Óliver Torres,Sevilla,0.4,0.94,Goal,5,Right Foot,,Gonzalo Montiel,Pass (Live),Papu Gómez,Pass (Live)
1822,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,6,Papu Gómez,Sevilla,0.05,0.29,Saved,17,Right Foot,,Óliver Torres,Pass (Live),Alex Telles,Pass (Dead)
1823,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,7,Joan Jordán,Sevilla,0.05,,Blocked,11,Head,,Isco,Pass (Dead),Papu Gómez,Shot
1824,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,11,Nemanja Gudelj,Sevilla,0.04,,Blocked,27,Right Foot,,Isco,Pass (Live),Papu Gómez,Pass (Live)
1825,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,24,Álex Berenguer,Athletic Club,0.05,0.2,Saved,15,Left Foot,,Álex Berenguer,Pass (Live),Unai Simón,Pass (Live)
1826,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,24,Yeray Álvarez,Athletic Club,0.02,,Blocked,16,Head,,Iker Muniain,Pass (Dead),Álex Berenguer,Shot
1827,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,26,Iker Muniain,Athletic Club,0.04,,Blocked,32,Right Foot,Free kick,Dani García,Fouled,Yeray Álvarez,Shot
1828,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,38,Papu Gómez,Sevilla,0.08,0.32,Saved,11,Right Foot,,Gonzalo Montiel,Pass (Live),,
1829,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,48,Oihan Sancet,Athletic Club,0.02,,Off Target,32,Right Foot,Volley,Dani García,Pass (Live),Iker Muniain,Pass (Live)
1830,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,51,Iker Muniain,Athletic Club,0.15,,Off Target,9,Head,,Óscar de Marcos,Pass (Live),Nico Williams,Pass (Live)
1831,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,51,Iker Muniain,Athletic Club,0.07,,Off Target,23,Right Foot,,Oihan Sancet,Pass (Live),Nico Williams,Pass (Live)
1832,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,53,Iñigo Lekue,Athletic Club,0.04,,Off Target,17,Right Foot,,Iñigo Martínez,Pass (Live),Yeray Álvarez,Pass (Dead)
1833,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,55,Iker Muniain,Athletic Club,0.05,,Off Target,15,Left Foot,,Álex Berenguer,Pass (Live),,
1834,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,57,Iñigo Martínez,Athletic Club,0.04,,Blocked,11,Head,,Iker Muniain,Pass (Dead),,
1835,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,60,Nico Williams,Athletic Club,0.1,,Off Target,9,Left Foot,,Álex Berenguer,Pass (Live),Iker Muniain,Pass (Live)
1836,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,69,Papu Gómez,Sevilla,0.04,,Off Target,22,Right Foot,,Óliver Torres,Pass (Live),Érik Lamela,Pass (Live)
1837,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,73,Mikel Vesga,Athletic Club,0.03,0.27,Goal,27,Left Foot,,Yeray Álvarez,Pass (Live),Iñigo Martínez,Pass (Live)
1838,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,77,Ander Herrera,Athletic Club,0.04,0.01,Saved,31,Right Foot,"Free kick, Deflected",Iker Muniain,Pass (Dead),Ander Herrera,Fouled
1839,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,78,Youssef En-Nesyri,Sevilla,0.07,,Blocked,12,Left Foot,,Érik Lamela,Pass (Live),Gonzalo Montiel,Pass (Live)
1840,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,80,Iker Muniain,Athletic Club,0.12,,Blocked,19,Right Foot,,Ander Herrera,Pass (Live),Nico Williams,Pass (Live)
1841,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,80,Raúl García,Athletic Club,0.06,,Blocked,11,Head,,Óscar de Marcos,Pass (Live),Ander Herrera,Pass (Live)
1842,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,80,Iker Muniain,Athletic Club,0.16,,Blocked,13,Right Foot,,Raúl García,Shot,,
1843,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,80,Nico Williams,Athletic Club,0.16,0.08,Saved,16,Right Foot,,Iker Muniain,Shot,,
1844,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,82,Iñigo Lekue,Athletic Club,0.03,,Blocked,27,Right Foot,,Iker Muniain,Pass (Dead),Iñaki Williams,Fouled
1845,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,85,Iñaki Williams,Athletic Club,0.11,,Off Target,15,Left Foot,,Óscar de Marcos,Pass (Live),Ander Herrera,Pass (Live)
1846,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,86,Youssef En-Nesyri,Sevilla,0.04,,Off Target,14,Head,,Marcos Acuña,Pass (Live),Papu Gómez,Pass (Live)
1847,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,87,Raúl García,Athletic Club,0.04,,Blocked,23,Right Foot,,Mikel Vesga,Pass (Live),Ander Herrera,Pass (Live)
1848,ESP-La Liga,2223,2022-10-08 Sevilla-Athletic Club,87,Iñaki Williams,Athletic Club,0.36,,Off Target,8,Head,,Iker Muniain,Pass (Live),Óscar de Marcos,Pass (Live)
