MATCH_ID,PERIOD_ID,TIME_SECONDS,NEW_TIME_SECONDS,ORIGINAL_EVENT_ID,TEAM_WS_ID,PLAYER_WS_ID_ON,PLAYER_WS_ID_OFF
1729190,2,2963.0,3383.0,2575720575,13,377283.0,388650.0
1729190,2,4260.0,4680.0,2575731151,174,281049.0,399250.0
1729190,2,4265.0,4685.0,2575731081,174,386969.0,315543.0
1729190,2,4382.0,4802.0,2575731945,13,113994.0,345845.0
1729190,2,4761.0,5181.0,2575734647,174,413211.0,379688.0
1729190,2,5144.0,5564.0,2575737313,13,334087.0,380706.0
1729190,2,5373.0,5793.0,2575738967,174,73380.0,315714.0
1729190,2,5383.0,5803.0,2575739019,174,66741.0,344073.0
1729191,1,1380.0,1380.0,2575459497,167,93894.0,73084.0
1729191,2,3601.0,3961.0,2575505281,184,307202.0,438959.0
1729191,2,3610.0,3970.0,2575505429,184,420145.0,424624.0
1729191,2,4382.0,4742.0,2575512875,184,400244.0,353412.0
1729191,2,4711.0,5071.0,2575515249,167,402664.0,444791.0
1729191,2,4722.0,5082.0,2575515295,167,122117.0,122945.0
1729191,2,4746.0,5106.0,2575515451,167,395692.0,315227.0
1729191,2,5423.0,5783.0,2575519405,184,138929.0,321020.0
1729191,2,5436.0,5796.0,2575519507,184,86425.0,371447.0
1729191,2,5662.0,6022.0,2575520357,167,425576.0,69778.0
1729192,2,3562.0,3682.0,2575873325,183,342842.0,328330.0
1729192,2,3585.0,3705.0,2575873715,183,331579.0,400610.0
1729192,2,4016.0,4136.0,2575888419,183,133190.0,128882.0
1729192,2,4484.0,4604.0,2575904403,183,357073.0,295084.0
1729192,2,4485.0,4605.0,2575904609,183,362837.0,362103.0
1729192,2,4677.0,4797.0,2575910223,29,91762.0,69517.0
1729192,2,5111.0,5231.0,2575924359,29,255167.0,297203.0
1729192,2,5618.0,5738.0,2575941203,29,125004.0,319756.0
1729193,2,3821.0,3941.0,2575884595,95,362246.0,399955.0
1729193,2,3823.0,3943.0,2575884425,95,329328.0,362145.0
1729193,2,4399.0,4519.0,2575903017,211,381255.0,135092.0
1729193,2,4423.0,4543.0,2575903725,211,443004.0,122926.0
1729193,2,4555.0,4675.0,2575907889,95,352908.0,379632.0
1729193,2,4650.0,4770.0,2575911453,211,423720.0,39308.0
1729193,2,4681.0,4801.0,2575912129,211,110290.0,4511.0
1729193,2,5225.0,5345.0,2575930635,95,139864.0,365244.0
1729193,2,5239.0,5359.0,2575930771,95,138641.0,135717.0
1729193,2,5251.0,5371.0,2575930911,211,417747.0,373525.0
1729194,2,2700.0,2820.0,2575848323,170,134332.0,29463.0
1729194,2,3440.0,3560.0,2575872541,170,115279.0,108186.0
1729194,2,3463.0,3583.0,2575873163,170,243254.0,79583.0
1729194,2,4308.0,4428.0,2575902369,31,323625.0,119822.0
1729194,2,4972.0,5092.0,2575923773,31,425711.0,367781.0
1729195,2,4779.0,4899.0,2575917249,163,425353.0,86594.0
1729195,2,4786.0,4906.0,2575917727,163,373964.0,35607.0
1729195,2,4789.0,4909.0,2575918133,163,386971.0,136452.0
1729195,2,5179.0,5299.0,2575931185,163,456511.0,140667.0
1729195,2,5203.0,5323.0,2575931449,163,408769.0,485367.0
1729195,2,5487.0,5607.0,2575941723,162,33930.0,374631.0
1729196,1,1829.0,1829.0,2576009609,24,344259.0,123167.0
1729196,2,2700.0,3420.0,2576057929,24,136345.0,327682.0
1729196,2,3786.0,4506.0,2576072065,24,134984.0,318449.0
1729196,2,4055.0,4775.0,2576075439,23,331382.0,349669.0
1729196,2,4073.0,4793.0,2576075691,23,134115.0,299254.0
1729196,2,5089.0,5809.0,2576092193,23,342811.0,338780.0
1729196,2,5109.0,5829.0,2576092431,23,141486.0,303924.0
1729196,2,5181.0,5901.0,2576093545,24,80767.0,353397.0
1729196,2,5186.0,5906.0,2576093743,24,411335.0,322043.0
1729196,2,5476.0,6196.0,2576097561,23,402596.0,343501.0
1729197,1,802.0,802.0,2576591047,30,322655.0,323663.0
1729197,2,2895.0,3615.0,2576649709,189,401168.0,339674.0
1729197,2,4268.0,4988.0,2576673939,189,329554.0,402367.0
1729197,2,4303.0,5023.0,2576674511,189,407260.0,296240.0
1729197,2,4309.0,5029.0,2576674639,189,362124.0,101856.0
1729197,2,4452.0,5172.0,2576677489,30,403859.0,364215.0
1729197,2,4464.0,5184.0,2576677779,30,70524.0,91909.0
1729197,2,5025.0,5745.0,2576685787,189,29026.0,321085.0
1729198,2,3911.0,4391.0,2576798735,26,355354.0,352825.0
1729198,2,3920.0,4400.0,2576798799,26,400828.0,235755.0
1729198,2,4533.0,5013.0,2576805457,15,403850.0,361330.0
1729198,2,4571.0,5051.0,2576806055,26,363982.0,108226.0
1729198,2,4572.0,5052.0,2576806103,26,430350.0,377168.0
1729198,2,4839.0,5319.0,2576809483,15,384134.0,410639.0
1729198,2,4843.0,5323.0,2576809569,15,409376.0,97692.0
1729198,2,5373.0,5853.0,2576817711,15,404616.0,299272.0
1729199,2,2700.0,2880.0,2577402303,32,100008.0,340105.0
1729199,2,3741.0,3921.0,2577410389,161,262854.0,94868.0
1729199,2,4066.0,4246.0,2577412657,32,69344.0,343346.0
1729199,2,4080.0,4260.0,2577412773,32,346300.0,437022.0
1729199,2,4589.0,4769.0,2577415557,32,404086.0,364315.0
1729199,2,4609.0,4789.0,2577415675,161,380655.0,362758.0
1729199,2,4613.0,4793.0,2577415711,161,409730.0,355401.0
1729199,2,5228.0,5408.0,2577418771,32,336915.0,300299.0
